EpochIndex,EpochT,PrnSatellitesIndex,Pseudorange,RawPseudorange,Snr,ErrTropo,ErrIono,SatClkErr,SatPosX,SatPosY,SatPosZ,SatSystem
1,1621218775,1,21848128.7598644,21642195.014,29,3.62212730460308,5.79810993460814,205944.701720842,-13074246.3651416,21957273.8570685,-6789481.80681196,1
1,1621218775,4,23702336.2409142,23761278.748,18,6.87799867689447,8.7251874289349,-58928.1603153936,-3215365.75396462,22272056.9840548,-14056455.1644345,1
1,1621218775,7,21213297.6642323,21167441.938,15,2.92216191807278,4.1062049496761,45859.4041574065,-820639.957446102,20031029.6800581,17520562.0218643,1
1,1621218775,8,21148787.0442119,21155242.059,16,2.97552320522805,4.16080219731072,-6446.34284357007,-9191428.95750307,14721934.0532762,20004915.0544675,1
1,1621218775,9,22985136.3248425,23088854.649,30,5.01198023115512,6.83178544243011,-103706.061586597,6131234.59125672,25440926.4754201,-4533204.90190258,1
1,1621218775,16,24277429.2853402,24375294.215,14,8.50842979099655,8.51935886222743,-97850.9731094165,-24780040.8316445,118787.76376056,9918233.66036969,1
1,1621218775,21,20717769.8351625,20682220.08,29,2.77894509937899,4.48230130911089,35553.9451705948,-17006269.7850289,19941612.7768012,2793734.95017311,1
1,1621218775,27,23258140.9928377,23297533.57,18,5.83221416285256,5.98215058450705,-39380.2043905528,-14755547.1180344,2522670.57405424,21785619.2059553,1
1,1621218775,107,37419662.0879773,37218049.862,36,3.372681826814,5.21353308035922,201620.962088411,4375807.41354772,41879774.6792364,-1379282.64708331,4
1,1621218775,108,36493418.8472086,36582024.261,28,2.73445621110228,4.49354999467865,-88597.4962625076,-14732711.5223136,39475710.399691,-797676.686845716,4
1,1621218775,112,36980460.1191543,36928599.584,28,2.90759585571549,4.18256339501491,51871.882366441,-14541713.4310655,22759282.2536905,32586213.2208234,4
1,1621218775,132,21886341.8136009,21726596.566,44,2.55884249948544,3.92704122035766,159750.384418531,-12102244.4760978,19319942.5334024,16059247.0058555,4
1,1621218775,133,25384046.9838989,25406115.761,27,7.83167763050247,6.62568782032272,-22055.638822424,-15845093.2024012,-624121.982025739,22961524.6359305,4
1,1621218775,135,22778563.1146848,22638491.412,35,3.13820255616223,4.94541939698513,140076.848340622,-586895.701156292,27885239.9625166,294365.47566677,4
2,1621218776,1,21847702.3983502,21641768.652,29,3.61846430548598,5.79755473560537,205944.697988436,-13074958.8801039,21957759.5651676,-6786388.08134618,1
2,1621218776,4,23703045.2579519,23761987.763,17,6.87393159693471,8.72668350920499,-58928.1608486217,-3216120.76473582,22270420.1885447,-14058879.6045761,1
2,1621218776,7,21213039.4459318,21167183.714,15,2.91940347916406,4.10625986454355,45859.4071533174,-822217.912745977,20032544.9836407,17518669.1542629,1
2,1621218776,8,21149310.7621384,21155765.775,18,2.97321571741162,4.16120697384426,-6446.34281976064,-9192440.36421314,14719590.3223084,20006204.0280481,1
2,1621218776,9,22985680.7296654,23089399.052,30,5.00837563647984,6.83291343359593,-103706.062240355,6130751.75597122,25440499.6445124,-4536294.18629253,1
2,1621218776,16,24277920.44674,24375785.373,15,8.50259447940839,8.52059496666775,-97850.9743088526,-24781223.2915628,118266.83680424,9915401.27042673,1
2,1621218776,21,20717775.2558379,20682225.498,29,2.77640421922288,4.48222172401283,35553.9452254799,-17006373.2347006,19941197.3747486,2796908.76564977,1
2,1621218776,27,23258885.3632419,23298277.94,19,5.82857064225445,5.98297344517751,-39380.2068070441,-14756482.7373661,2520029.91002989,21785329.4625635,1
2,1621218776,107,37419822.3752379,37218210.156,35,3.36978800153421,5.21380871881532,201620.952730839,4375800.78027379,41879774.8139593,-1379277.56208485,4
2,1621218776,108,36493572.597531,36582177.997,28,2.732109298744,4.49378916059711,-88597.4840478932,-14732713.8945985,39475708.2140196,-797611.807549499,4
2,1621218776,112,36980585.8647951,36928725.339,28,2.90509484090467,4.18275760119742,51871.8707004567,-14542792.3788447,22759008.402773,32585893.2383532,4
2,1621218776,132,21886714.1262223,21726968.875,44,2.556762174336,3.92730315226935,159750.386221523,-12102231.3269055,19318101.8159867,16061469.7368713,4
2,1621218776,133,25384780.6258797,25406849.398,27,7.82740972030295,6.62633489260593,-22055.6374625038,-15844958.7828748,-626741.602007564,22961545.7552919,4
