Var1,Var2,Var3,Var4
1567043229062125824,37.7986503233426,-122.408209526475,29.3281601397321
1567043229115601920,37.7986504257142,-122.408208576129,29.3259827457368
1567043229169548032,37.7986505278536,-122.408207614394,29.3239280274138
1567043229222928896,37.7986506303734,-122.408206639309,29.3219906492159
1567043229268420864,37.7986507361047,-122.408205652391,29.3200452541932
1567043229321764096,37.7986508464012,-122.408204655452,29.3180822702125
1567043229419641088,37.7986510814694,-122.408202633462,29.3133511627093
1567043229473031936,37.7986512022631,-122.408201608035,29.3105806689709
1567043229512687872,37.798651320195,-122.408200570964,29.3080884739757
1567043229566308864,37.7986514379936,-122.408199520724,29.3055470464751
1567043229619713024,37.7986515561841,-122.408198458607,29.3032450480387
1567043229665126144,37.7986516720535,-122.408197382629,29.3011772064492
1567043229718552064,37.7986517855116,-122.408196294402,29.299459842965
1567043229772082176,37.7986518998204,-122.408195196356,29.2977249482647
1567043229869940992,37.7986521376738,-122.408192975104,29.2935142219067
1567043229909585920,37.7986522601302,-122.408191852823,29.291257340461
1567043229963036928,37.798652382389,-122.408190722866,29.2891601026058
1567043230016349952,37.7986525056913,-122.408189581931,29.2871939372271
1567043230061761024,37.7986526314945,-122.408188431887,29.2854842096567
1567043230115361024,37.7986527594739,-122.408187271858,29.2837892426178
1567043230168879872,37.7986528918853,-122.408186098774,29.2815331108868
1567043230214149120,37.7986530314248,-122.408184913098,29.2785814823583
1567043230267620096,37.798653178248,-122.40818371434,29.2751920539886
1567043230321115136,37.798653328709,-122.408182502152,29.2718839142472
1567043230374548992,37.7986534804065,-122.408181274004,29.2685770308599
1567043230405392896,37.7986536322993,-122.408180030598,29.265336509794
1567043230458717952,37.7986537839316,-122.408178773688,29.2624262571335
1567043230512212992,37.7986539355011,-122.408177504498,29.2598320739344
1567043230610061824,37.7986542399152,-122.408174938233,29.2550427932292
1567043230665021952,37.7986543923516,-122.408173646299,29.2529188105837
1567043230718568192,37.7986545460472,-122.408172349495,29.2508377954364
1567043230771927040,37.7986547022641,-122.408171047751,29.2487395480275
1567043230825376000,37.7986548593641,-122.40816974252,29.2468779953197
